Sample Name,Date Collected,Sample prep date,Sex1F2M,1-Decanol REL,1-Undecanol REL,1-Dodecanol REL,1-Tridecanol REL,1-Tetradecanol REL,1-Pentadecanol REL,1-Hexadecanol REL,1-Heptadecanol REL,1-Octadecanol REL,2-Tridecanone REL,2-Tetradecanone REL,2-Pentadecanone REL,Tetradecanoic acid REL,Hexadecanoic acid REL,Prop1Decanol,Prop1Undecanol,Prop1Dodecanol,Prop1Tridecanol,Prop1Tetradecanol,Prop1Pentadecanol,Prop1Hexadecanol,Prop1Heptadecanol,Prop1Octadecanol,Prop2Undecanone,Prop2Dodecanone,Prop2Tridecanone,Prop2Tetradecanone,Prop2Pentadecanone,Prop2Hexadecanone,PropDodecanoic acid,PropTetradecanoic acid,PropHexadecanoic acid,PropStearic acid,Abs1Decanol,Abs1Undecanol,Abs1Dodecanol,Abs1Tridecanol,Abs1Tetradecanol,Abs1Pentadecanol,Abs1Hexadecanol,Abs1Heptadecanol,Abs1Octadecanol,Abs2Undecanone,Abs2Dodecanone,Abs2Tridecanone,Abs2Tetradecanone,Abs2Pentadecanone,Abs2Hexadecanone,AbsDodecanoic acid,AbsTetradecanoic acid,AbsHexadecanoic acid,AbsStearic acid,Date Collected 2,AR pg fold,stage (exact),stage coded,Embryo length (mm),mass,latency to 1m,latency to 5m,latency to song,closest approach,average distance,"Avg distance, excluding inc",Time <1,Time < 1/4,Within 1/4?,songs,caught time,euth time,Time responding,time incubating,INCUBATED,SQRT flyovers,Total Tail White,AR hypo rel,AR hypo fold,AR nt rel,AR nt fold,AR rel PTR,AR fold PTR,T (uncorrected) ng/mL,T corrected (ng/mL),EIA plate,"T, including plate multiplier (ng/mL)",Ln T with multiplier
VAF5,5/10/10,3/6/12,1,2.810470554,22.7094403,14.88423029,15.87972282,10.78216838,7.721237913,13.22883735,2.159234475,0.545954256,2.580059522,0.690830104,3.630963535,1.447348006,0.929502485,0.028022015,0.226426239,0.148404375,0.15833001,0.107504448,0.076985203,0.131899151,0.021528815,0.005443479,,0.000365644,0.025724684,0.006887975,0.036202804,0.001402306,,0.014430896,0.009267677,0.001174281,2.602238806,21.02686567,13.78143657,14.70317164,9.983302239,7.149160448,12.24869403,1.999253731,0.505503731,,0.033955224,2.388899254,0.639645522,3.361940299,0.130223881,,1.34011194,0.860634328,0.109048508,130,2.58,inc (fresh),1.Early,0,24.5,6,3.1333333,,5,10.25,10.25,0,0,0,,10,11,6,0,0,1,1.89,1.64,0.717,2.695,1.43,0.993,0.0104,0.242876222,0.303595278,40965,0.303595278,-1.192059787
VAF6,5/12/10,3/6/12,1,2.876935776,29.03099209,13.61436257,13.52857892,11.70952569,5.868828584,14.67652851,2.028476466,1.015858977,2.268462296,0.29532265,2.164155865,0.645634816,0.276336795,0.028611297,0.288714938,0.135395643,0.13454252,0.116451928,0.058365848,0.145958947,0.020173319,0.010102778,0.000459374,0.000474341,0.022559992,0.002937001,0.021522658,0.000467433,0.003558711,0.006420877,0.002748186,0.00053421,2.840763603,28.6659808,13.44318701,13.35848194,11.56229995,5.795038866,14.49199817,2.002972108,1.00308642,0.045610425,0.047096479,2.239940558,0.291609511,2.136945588,0.046410608,0.353337906,0.637517147,0.272862369,0.053040695,132,1.52,inc (early),1.Early,0,22.1,3.5166667,1.2666667,,0.25,8.829861111,8.82986111,0.4,0.11666667,1,,10,11.5,6,0,0,1,2.14,2.71,1.44,3.61,1.85,1.32,0.401,0.091301083,0.205427438,40965,0.205427438,-1.582662407
VAF7,5/18/10,3/6/12,1,2.310605269,27.09165307,15.0796296,14.88186236,9.520254539,7.814635022,12.97663075,2.573925963,1.239980961,2.032525825,0.618637595,2.986433019,0.562062388,0.311163641,0.022976374,0.269396062,0.14994998,0.147983406,0.094668239,0.077707768,0.129038018,0.025594803,0.012330218,0.000321647,0.000469629,0.020211187,0.006151656,0.029696722,0.000900123,0.003605384,0.005589079,0.003094173,0.000315532,1.835277338,21.51847293,11.97751207,11.82042866,7.561788094,6.207041401,10.30713323,2.044428814,0.984897329,0.025692124,0.037512455,1.61440322,0.491374089,2.372076666,0.071898873,0.287986245,0.446437294,0.247152375,0.025203681,138,4.57,inc (early),1.Early,0,21.7,0.3333333,0,,0.25,19.28,2.11,0.516666667,0.51666667,1,,10,13,0.85,5.15,1,1,1.75,3.8,1.93,1.71,0.772,1.15,0.2,0.959633519,1.302359776,40926,1.712342633,0.537862394
VAF8,5/19/10,3/7/12,1,2.568904787,26.99499679,15.98540484,12.71428029,11.10344605,5.048872978,12.61874019,1.765665416,0.726385788,3.476395272,0.538958585,3.873027202,1.780558432,0.804363373,0.025375906,0.266659357,0.157905475,0.12559297,0.109680983,0.049873287,0.124649215,0.017441425,0.007175314,0.001003434,0.001172754,0.03434019,0.005323888,0.038258161,0.001627977,0.006793648,0.01758854,0.007945584,0.001591893,4.124148509,43.3380701,25.66314792,20.41164795,17.82559661,8.10551721,20.25826679,2.834619028,1.166147878,0.163080254,0.190598638,5.581043894,0.865250147,6.217801236,0.264582488,1.104118735,2.858528443,1.291333965,0.258717914,139,2.29,inc (fresh),1.Early,0,22.1,2.7833333,2.4666667,,0.25,8.022222222,8.02222222,2.65,0.93333333,1,,11.33,13.5,6,0,0,2.236067978,1.99,1.71,0.775,2.8,1.48,0.515,-0.959,0.671031885,0.816908382,40965,0.816908382,-0.20222833
VAF9,5/21/10,3/7/12,1,2.532064441,27.64635051,15.08116455,14.06055629,11.87701839,5.338354158,13.11670047,2.385606697,1.228958189,1.869481025,0.394792477,2.100810726,1.499200304,0.868941766,0.025030364,0.27329408,0.149082715,0.138993636,0.117408582,0.052771543,0.129663283,0.023582577,0.012148692,0.001175191,0.001538653,0.01848049,0.003902665,0.020767267,0.001844566,0.005482207,0.014820132,0.008589801,0.001423557,1.333591531,14.56082171,7.942970566,7.405435063,6.255406016,2.811612445,6.908323651,1.256454945,0.647269559,0.062612962,0.081977795,0.984621095,0.207929899,1.106458172,0.09827653,0.292086238,0.789601084,0.457655564,0.075845598,141,3.02,inc (fresh),1.Early,0,22.3,0.3166667,0,,0.25,0.623611111,0.62361111,5.683333333,4.7,1,,8.333,11,6,0,0,0,1.96,1.95,0.965,1.58,0.664,0.412,-1.28,2.484957485,,40965,,
VAM1,5/5/10,2/22/12,2,2.692433587,24.38449746,14.88156212,15.32345232,10.43145816,9.064341945,16.94913259,2.491445957,0.801831142,0.702102658,0.162485606,1.160712393,0.594720866,0.359823197,0.026763372,0.24238718,0.147925947,0.152318431,0.103690951,0.09010152,0.168478045,0.024765512,0.007970375,0.000340584,0.000353459,0.006979052,0.001615142,0.011537732,0.000400274,0.003382435,0.005911654,0.00357672,0.001501614,1.580872186,14.31744649,8.737763398,8.99722084,6.124868647,5.322161385,9.951744926,1.462861567,0.470798075,0.020117803,0.02087827,0.412242133,0.095404015,0.681516509,0.023643604,0.199795365,0.349192523,0.211271501,0.088698081,125,3.35,mated,M,,21.6,3.3666667,1.7833333,0.9166667,0.25,5.451388889,5.45138889,2.833333333,1.16666667,1,32,9,16.5,,,,0,2.63,3.23,1.69,0.711,-0.4985,0.698,-0.519,1.72143966,2.095665674,40965,2.095665674,0.739871247
VAM10,5/26/10,2/28/12,2,2.721325487,27.56816463,13.45317072,12.93599395,9.285512344,6.143791709,10.67267169,1.647128439,0.982806798,4.972681548,0.871166048,6.886222427,1.161116408,0.698247806,0.026806057,0.271556565,0.132518681,0.1274243,0.091465713,0.060518609,0.105129743,0.016224821,0.009681009,0.0028885,0.00279783,0.048982743,0.008581306,0.067831825,0.002885909,0.004103483,0.011437424,0.006877998,0.002287485,3.063883337,31.03841883,15.14664298,14.5643645,10.45436376,6.917166334,12.01613739,1.854467392,1.106521578,0.33015027,0.319786809,5.598637945,0.980827596,7.75305352,0.329854171,0.469020653,1.30727663,0.786142572,0.261455326,146,3.75,fertile female,F,,23.4,0.8833333,0.3833333,0.2833333,0.25,3.561805556,3.56180556,3.116666667,1.21666667,1,13,8.5,11.5,,,,2.828427125,2.02,3.16,1.66,2.74,1.45,0.939,0.0907,1.800713348,2.175861962,40965,2.175861962,0.77742489
VAM11,5/27/10,2/28/12,2,2.402853268,24.52466941,12.17390858,14.31758402,9.440725595,8.974770619,15.72739322,2.758484285,1.226535288,2.465271713,0.444249797,3.917463808,0.738746699,0.887343697,0.023793808,0.242850984,0.120549869,0.141777217,0.093485032,0.088870999,0.15573759,0.027315378,0.012145538,0.001077201,0.001187846,0.024411895,0.004399101,0.038791958,0.001495618,0.003058641,0.007315302,0.008786756,0.002949267,8.173438183,83.42201835,41.41022281,48.7020533,32.11314985,30.52817824,53.4975972,9.383136741,4.172127567,0.370030581,0.408038445,8.385757973,1.511140236,13.32546964,0.513761468,1.050677152,2.512887724,3.018348624,1.01310616,147,4.73,prob inc,I,,21.8,2.3166667,2.05,1.3166667,0.25,7.292361111,7.29236111,3.683333333,3.01666667,1,12,8.5,9.5,,,,1.414213562,2.31,3.46,1.79,3.23,1.69,1.08,0.11,2.650670692,3.160415056,40965,3.160415056,1.150703366
VAM12,5/28/10,2/29/12,2,3.528903833,26.99725225,16.63622905,15.63072797,9.503006016,7.662357801,11.82437144,1.886276745,0.551447005,1.771145588,0.437989266,2.205453335,0.771668811,0.593170893,0.035038709,0.268057419,0.165182167,0.155198483,0.094355946,0.076080033,0.117404929,0.018728961,0.005475352,0.000312371,0.000459695,0.017585816,0.004348823,0.021898085,0.000548311,0.00324334,0.007661948,0.005889631,0.002529983,2.165448123,16.56637641,10.20852159,9.591514006,5.831348065,4.701867521,7.255812043,1.157479668,0.338385498,0.019305019,0.028409869,1.086831512,0.268764205,1.353336619,0.03388647,0.200443605,0.473520633,0.363988609,0.156356965,148,2.2,unknown,,,20.5,6,6,0.1,10,15.47222222,15.4722222,0,0,0,33,10,11.5,,,,0,2.8,2.43,1.28,1.46,0.543,0.751,-0.413,2.404649741,2.758274703,40926,3.62657958,1.28828994
VAM13,5/28/10,2/29/12,2,1.753088651,24.34541529,12.86509801,14.95677316,11.56282396,7.16809488,16.15514109,1.837259732,0.825066814,2.438345872,0.65482248,3.533996557,1.05118743,0.852886069,0.017231104,0.239291031,0.126451019,0.147010089,0.11365097,0.070455188,0.158788845,0.018058422,0.00810958,0.00296806,0.003790703,0.023966496,0.006436249,0.034735644,0.003000778,0.004678784,0.010332119,0.008383015,0.002661905,3.963978495,55.0483871,29.08978495,33.81935484,26.14516129,16.20806452,36.52903226,4.154301075,1.865591398,0.682795699,0.872043011,5.51344086,1.480645161,7.990860215,0.690322581,1.076344086,2.37688172,1.928494624,0.612365591,148,2.02,nestlings or fledges,O,,20.2,1.6333333,1.55,0.1166667,0.25,8.034027778,8.03402778,2.116666667,1.21666667,1,39,9,,,,,1,2.14,2.34,1.23,2.38,1.25,1.65,0.722,5.722795173,7.405970224,40965,7.405970224,2.002286462
